"GRPSORT","SNAME","COMMON_NAME","AUTHOR","SYNONYMY","ALTSYN","GRANK","SRANK","FEDSTAT","SPROT","TRK"
"VAS","Carex shortiana","Short's Sedge","<i>Carex shortiana</i> Dewey","","","G5","S3","","","Watch List"
"VAS","Carex striata var. brevis","Walter's Sedge","<i>Carex striata</i> Michx. var. <i>brevis</i> Bailey","<i>Carex walteriana</i> var. <i>brevis</i>","","G4T4","S3","","","Watch List"
"VAS","Carex suberecta","Prairie Straw Sedge","<i>Carex suberecta</i> (Olney) Britt.","","","G4","S3","","","Watch List"
"VAS","Carex superata","Limestone Forest Sedge","<i>Carex superata</i> Naczi, Reznicek, & B.A. Ford","","","G4?","S3","","","Watch List"
"VAS","Carex tetanica","Rigid Sedge","<i>Carex tetanica</i> Schkuhr","","","G4G5","S3","","","Watch List"
"VAS","Carex trisperma","Three-seed Sedge","<i>Carex trisperma</i> Dewey","","","G5","S3","","","Watch List"
"VAS","Carex venusta var. venusta","Dark Green Sedge","<i>Carex venusta</i> Dewey var. <i>venusta</i>","","","G4T4?","S3?","","","Watch List"
"VAS","Castilleja coccinea","Eastern Indian Paintbrush","<i>Castilleja coccinea</i> (L.) Spreng.","","","G5","S3","","","Watch List"
"VAS","Cenchrus incertus","Coastal Sandbur","<i>Cenchrus incertus</i> M.A. Curtis","<i>Cenchrus spinifex</i>","","GNR","S3","","","Watch List"
"VAS","Chaerophyllum procumbens var. shortii","Short's Spreading Chervil","<i>Chaerophyllum procumbens</i> (L.) Crantz var. <i>shortii</i> Torr. & Gray","","","G5T3T4Q","S3?","","","Watch List"
"VAS","Chamaecrista fasciculata var. macrosperma","Marsh Patridge-pea","<i>Chamaecrista fasciculata</i> (Michx.) Greene var. <i>macrosperma</i> (Fern.) C. F. Reed","","","G5T2?","S3","","","Watch List"
"VAS","Chamaecyparis thyoides","Atlantic White-cedar","<i>Chamaecyparis thyoides</i> (L.) B.S.P.","","","G4","S3","","","Watch List"
"VAS","Chenopodiastrum simplex","Maple-leaf Goosefoot","<i>Chenopodiastrum simplex</i> (Torrey) S. Fuentes, Uotila &amp; Borsch","<i>Chenopodium gigantospermum</i>","Under <i>C. hybridum</i> L. in Fernald (1950)","G5","S3","","","Watch List"
"VAS","Chrysogonum virginianum var. brevistolon","Carolina Green-and-gold","<i>Chrysogonum virginianum</i> L. var. <i>brevistolon</i> Nesom","","","G5TNR","S3","","","Watch List"
"VAS","Cinna latifolia","Slender Wood Reedgrass","<i>Cinna latifolia</i> (Trev. ex Goepp.) Griseb.","","","G5","S3","","","Watch List"
"VAS","Clematis albicoma","White-haired Leatherflower","<i>Clematis albicoma</i> Wherry","","","G4","S3","","","Watch List"
"VAS","Clematis coactilis","Virginia White-haired Leatherflower","<i>Clematis coactilis</i> (Fern.) Keener","","","G3","S3","","","Watch List"
"VAS","Clematis crispa","Marsh Swamp Leatherflower","<i>Clematis crispa</i> L.","","","G5","S3","","","Watch List"
"VAS","Coleataenia longifolia ssp. combsii","Combs' Panic Grass","<i>Coleataenia longifolia </i>(Torrey) Soreng ssp.<i> combsii</i> (Scribn. & C.R. Ball) Soreng","<i>Panicum longifolium </i>var. <i>combsii</i>","","G5T5?","S3?","","","Watch List"
"VAS","Corallorhiza wisteriana","Spring Coralroot","<i>Corallorhiza wisteriana</i> Conrad","","","G5","S3","","","Watch List"
"VAS","Croton monanthogynus","Prairie Tea","<i>Croton monanthogynus</i> Michx.","","","G5","S3","","","Watch List"
"VAS","Cyperus haspan","Sheathed Flatsedge","<i>Cyperus haspan</i> L.","","","G5","S3","","","Watch List"
"VAS","Cyperus refractus","Reflexed Flatsedge","<i>Cyperus refractus</i> Engelm. ex Boeckl.","","","G5","S3","","","Watch List"
"VAS","Cyperus squarrosus","Awned Cyperus","<i>Cyperus squarrosus</i> L.","","","G5","S3S4","","","Watch List"
"VAS","Delphinium exaltatum","Tall Larkspur","<i>Delphinium exaltatum</i> Ait.","","","G3","S3","","","Watch List"
"VAS","Dendrolycopodium dendroideum","Prickly Tree-clubmoss","<i>Dendrolycopodium dendroideum</i> (Michaux) A. Haines","<i>Lycopodium dendroideum</i>","","G5","S3","","","Watch List"
"VAS","Dendrolycopodium hickeyi","Hickey's Tree-clubmoss","<i>Dendrolycopodium hickeyi</i> (W.H. Wagner, Beitel, & R.C. Moran) A. Haines","<i>Lycopodium hickeyi</i>","","G5","S3?","","","Watch List"
"VAS","Descurainia pinnata var. brachycarpa","Western Tansy Mustard","<i>Descurainia pinnata</i> (Walt.) Britt. var. <i>brachycarpa</i> (Richards.) Fern.","","","G5T5","S3?","","","Watch List"
"VAS","Desmodium fernaldii","Fernald's Tick-trefoil","<i>Desmodium fernaldii</i> Schub.","","","G4","S3","","","Watch List"
"VAS","Desmodium lineatum","Sand Tick-trefoil","<i>Desmodium lineatum</i> DC.","","","G5","S3","","","Watch List"
"VAS","Diarrhena americana","American Beakgrain","<i>Diarrhena americana</i> Beauv.","","","G4G5","S3","","","Watch List"
"VAS","Dichanthelium annulum","Ringed panic grass","<i>Dichanthelium annulum</i> (Ashe) R. J. LeBlond","","","G3","S3","","","Watch List"
"VAS","Dichanthelium portoricense ssp. patulum","Hemlock Panic Grass","<i>Dichanthelium portoricense </i>(Desv. ex Hamilton) B.F. Hansen & Wunderlin ssp. <i>patulum</i> (Scribn. & Merc.) Freckmann & Lelong","","","G5T5","S3","","","Watch List"
"VAS","Dichanthelium ravenelii","Ravenel's Panic Grass","<i>Dichanthelium ravenelii</i> (Scribn. & Merr.) Gould","","","G5","S3","","","Watch List"
"VAS","Dichanthelium scabriusculum","Tall Swamp Panic Grass","<i>Dichanthelium scabriusculum</i> (Ell.) Gould & C.A. Clark","","","G4","S3","","","Watch List"
"VAS","Dichanthelium wrightianum","Wright's Panic Grass","<i>Dichanthelium wrightianum</i> (Scribn.) Freckmann","","","G4","S3","","","Watch List"
"VAS","Dicliptera brachiata","Branched Dicliptera","<i>Dicliptera brachiata</i> (Pursh) Spreng.","","","G5","S3","","","Watch List"
"VAS","Diphylleia cymosa","Umbrella-leaf","<i>Diphylleia cymosa</i> Michx.","","","G4","S3","","","Watch List"
