"GRPSORT","SNAME","COMMON_NAME","AUTHOR","SYNONYMY","ALTSYN","GRANK","SRANK","FEDSTAT","SPROT","TRK"
"VAS","Rhynchospora rariflora","Few-flowered Beaksedge","<i>Rhynchospora rariflora</i> (Michx.) Ell.","","","G5","S3","","","Watch List"
"VAS","Ribes glandulosum","Skunk Currant","<i>Ribes glandulosum</i> Grauer","","","G5","S3","","","Watch List"
"VAS","Ruellia humilis","Low Wild-petunia","<i>Ruellia humilis</i> Nutt.","","","G5","S3","","","Watch List"
"VAS","Ruellia purshiana","Pursh's Wild-petunia","<i>Ruellia purshiana</i> Fern.","","","G3","S3","","","Watch List"
"VAS","Sabatia brachiata","Narrow-leaf Rose-pink","<i>Sabatia brachiata</i> Ell.","","","G5?","S3","","","Watch List"
"VAS","Sabatia calycina","Coastal Rose-pink","<i>Sabatia calycina</i> (Lam.) Heller","","","G5?","S3","","","Watch List"
"VAS","Sabatia dodecandra","Large Marsh-pink","<i>Sabatia dodecandra</i> (L.) B.S.P.","","","G5?","S3","","","Watch List"
"VAS","Scirpus divaricatus","Spreading Bulrush","<i>Scirpus divaricatus</i> Ell.","","","G4","S3","","","Watch List"
"VAS","Scirpus hattorianus","Northern Bulrush","<i>Scirpus hattorianus</i> Makino","","","G5","S3","","","Watch List"
"VAS","Scirpus lineatus","Drooping Bulrush","<i>Scirpus lineatus</i> Michx.","<i>Scirpus fontinalis</i>","","G4","S3","","","Watch List"
"VAS","Scutellaria saxatilis","Rock Skullcap","<i>Scutellaria saxatilis</i> Riddell","","","G3G4","S3","","","Watch List"
"VAS","Sesuvium maritimum","Small Sea-purslane","<i>Sesuvium maritimum</i> (Walt.) B.S.P.","","","G5","S3","","","Watch List"
"VAS","Sideroxylon lycioides","Buckthorn Bumelia","<i>Sideroxylon lycioides</i> L.","<i>Bumelia lycioides</i>","","G5","S3","","","Watch List"
"VAS","Sisyrinchium fuscatum","Coastal Plain Blue-eyed-grass","<i>Sisyrinchium fuscatum</i> Bickn.","","","G5?","S3","","","Watch List"
"VAS","Solidago faucibus","Gorge Goldenrod","<i>Solidago faucibus</i> Wieboldt","","","G3G4","S3","","","Watch List"
"VAS","Solidago flaccidifolia","Mountain goldenrod","<i>Solidago flaccidifolia</i> Small","<i>Solidago curtisii </i>var. <i>flaccidifolia</i>","","G5","S3?","","","Watch List"
"VAS","Solidago hispida var. hispida","Hairy goldenrod","<i>Solidago hispida</i> Muhl. ex Willd. var. <i>hispida</i>","","","G5T5","S3","","","Watch List"
"VAS","Solidago tarda","Sandhill Goldenrod","<i>Solidago tarda</i> Mackenzie","<i>Solidago ludoviciana</i>","Under <i>S. arguta</i> in Radford et al. (1968) <br />Under <i>S. arguta </i>var. arguta in Kartesz (1999)","G4?Q","S3?","","","Watch List"
"VAS","Sparganium eurycarpum","Giant Bur-reed","<i>Sparganium eurycarpum</i> Engelm. ex Gray","","","G5","S3","","","Watch List"
"VAS","Spinulum annotinum","Stiff Clubmoss","<i>Spinulum annotinum</i> (Linnaeus) A. Haines","<i>Lycopodium annotinum</i>","","G5","S3?","","","Watch List"
"VAS","Spiranthes ochroleuca","Yellow Nodding Ladies'-tresses","<i>Spiranthes ochroleuca</i> (Rydb.) Rydb.","","","G5","S3","","","Watch List"
"VAS","Spiranthes odorata","Fragrant Ladies'-tresses","<i>Spiranthes odorata</i> (Nutt.) Lindl.","<i>Spiranthes cernua</i> var. <i>odorata</i>","","G5","S3","","","Watch List"
"VAS","Stachys hyssopifolia var. hyssopifolia","Hyssop-leaf Hedge-nettle","<i>Stachys hyssopifolia</i> Michx. var. <i>hyssopifolia</i>","","","G5T4T5","S3","","","Watch List"
"VAS","Stachys latidens","Broad-tooth Hedge-nettle","<i>Stachys latidens</i> Small ex Britt.","","","G4G5","S3","","","Watch List"
"VAS","Stellaria corei","Tennessee Starwort","<i>Stellaria corei</i> Shinners","<i>Stellaria pubera</i> var. <i>sylvatica</i>","","G5?","S3","","","Watch List"
"VAS","Stewartia malacodendron","Silky Camellia","<i>Stewartia malacodendron</i> L.","","","G4","S3","","","Watch List"
"VAS","Styrax americanus var. americanus","American Snowbell","<i>Styrax americanus</i> Lam. var. <i>americanus</i>","","","G5TNR","S3","","","Watch List"
"VAS","Styrax grandifolius","Bigleaf Snowbell","<i>Styrax grandifolius</i> Ait.","","","G5","S3","","","Watch List"
"VAS","Suaeda linearis","Tall Sea-blite","<i>Suaeda linearis</i> (Ell.) Moq.","","","G5","S3","","","Watch List"
"VAS","Symphyotrichum ericoides var. ericoides","White Heath Aster","<i>Symphyotrichum ericoides</i> (L.) Nesom var. <i>ericoides</i>","","","G5T5","S3","","","Watch List"
"VAS","Symphyotrichum urophyllum","Arrow-leaved Aster","<i>Symphyotrichum urophyllum</i> (Lindl.) Nesom","","","G5","S3","","","Watch List"
"VAS","Taenidia montana","Mountain Pimpernel","<i>Taenidia montana</i> (Mackenzie) Cronq.","","","G3","S3","","","Watch List"
"VAS","Taxus canadensis","Canada Yew","<i>Taxus canadensis</i> Marsh.","","","G5","S3","","","Watch List"
"VAS","Thermopsis mollis","Appalachian Golden-banner","<i>Thermopsis mollis</i> (Michx.) M.A. Curtis ex Gray","","","G3G4","S3","","","Watch List"
"VAS","Tradescantia subaspera","Zigzag Spiderwort","<i>Tradescantia subaspera</i> Ker-Gawl.","","","G5","S3","","","Watch List"
"VAS","Tragia urticifolia","Nettle-leaf Noseburn","<i>Tragia urticifolia</i> Michx.","","","G5","S3","","","Watch List"
"VAS","Trifolium virginicum","Kates Mountain Clover","<i>Trifolium virginicum</i> Small ex Small & Vail","","","G3","S3","","","Watch List"
"VAS","Triglochin striata","Southern Arrowgrass","<i>Triglochin striata</i> Ruiz & Pavon","","","G5","S3","","","Watch List"
"VAS","Triosteum aurantiacum var. aurantiacum","Orange-fruited Horse-gentian","<i>Triosteum aurantiacum</i> Bickn. var. <i>aurantiacum</i>","","","G5T5","S3","","","Watch List"
"VAS","Typha domingensis","Southern Cattail","<i>Typha domingensis</i> Pers.","","","G4G5","S3?","","","Watch List"
"VAS","Uniola paniculata","Sea Oats","<i>Uniola paniculata</i> L.","","","G5","S3","","","Watch List"
"VAS","Utricularia geminiscapa","Two-flowered Bladderwort","<i>Utricularia geminiscapa</i> Benj.","","","G4G5","S3","","","Watch List"
"VAS","Utricularia macrorhiza","Common Bladderwort","<i>Utricularia macrorhiza</i> Le Conte","<i>Utricularia vulgaris</i>","","G5","S3","","","Watch List"
"VAS","Utricularia radiata","Floating Bladderwort","<i>Utricularia radiata</i> Small","<i>Utricularia inflata</i> var. <i>minor</i>","","G5","S3","","","Watch List"
"VAS","Verbesina virginica var. virginica","White Crownbeard","<i>Verbesina virginica</i> L. var. <i>virginica</i>","","","G5?T5?","S3","","","Watch List"
"VAS","Viola brittoniana","Coast Violet","<i>Viola brittoniana</i> Pollard","","","G3?","S3?","","","Watch List"
"VAS","Viola edulis","Salad Violet","<i>Viola edulis</i> Spach","<i>Viola esculenta</i>","","G4G5","S3","","","Watch List"
"VAS","Viola pallens","Smooth White Violet","<i>Viola pallens</i> (Banks ex Ging) Brainerd","","","G5T5","S3","","","Watch List"
"VAS","Viola septentrionalis","Northern Blue Violet","<i>Viola septentrionalis</i> Greene","","","G5","S3","","","Watch List"
"VAS","Vittaria appalachiana","Appalachian Shoestring Fern","<i>Vittaria appalachiana</i> Farrar & Mickel","","","G4","S3","","","Watch List"
"VAS","Wolffiella gladiata","Sword Bogmat","<i>Wolffiella gladiata</i> (Hegelm.) Hegelm.","<i>Wolffiella floridana</i>","","G4G5","S3","","","Watch List"
"VAS","Zanthoxylum americanum","Toothache Tree","<i>Zanthoxylum americanum</i> P. Mill.","","","G5","S3","","","Watch List"
"VAS","Zanthoxylum clava-herculis","Hercules'-club","<i>Zanthoxylum clava-herculis</i> L.","","","G4","S3","","","Watch List"
"VAS","Abies balsamea","Balsam Fir","<i>Abies balsamea</i> (L.) P. Mill.","","","G5","S1","","","Rare List"
"VAS","Abies fraseri","Fraser Fir","<i>Abies fraseri</i> (Pursh) Poir.","","","G2","S1","","","Rare List"
"VAS","Acmispon helleri","Carolina Prairie-trefoil","<i>Acmispon helleri</i> (Britton) A.A. Heller","<i>Lotus helleri</i>","","G5T3","S1","","","Rare List"
"NB","Acrobolbus ciliatus","A liverwort","<i>Acrobolbus ciliatus</i> (Mitt.) Schiffn.","","","G3?","S1","","","Rare List"
"VAS","Actaea rubifolia","Appalachian black cohosh","<i>Actaea rubifolia</i> (Kearney) Kartesz","<i>Cimicifuga rubifolia</i>","","G3","S1","","","Rare List"
"VAS","Adiantum capillus-veneris","Venus'-hair fern","<i>Adiantum capillus-veneris</i> L.","","","G5","SH","","","Rare List"
"VAS","Aeschynomene virginica","Sensitive Joint-vetch","<i>Aeschynomene virginica</i> (L.) B.S.P.","","","G2","S2","LT","LT","Rare List"
"VAS","Agalinis auriculata","Earleaf false foxglove","<i>Agalinis auriculata</i> (Michx.) Blake","<i>Tomanthera auriculata</i>","","G3","S1","","","Rare List"
"VAS","Agalinis fasciculata","Fascicled False foxglove","<i>Agalinis fasciculata</i> (Ell.) Raf.","<i>Gerardia fasciculata</i>","","G5","SH","","","Rare List"
"VAS","Agave virginica","Eastern False-aloe","<i>Agave virginica</i> L.","<i>Manfreda virginica</i>","","G5","S2","","","Rare List"
"NL","Alectoria fallacina","Witch's-hair lichen","<i>Alectoria fallacina</i> Mot.","","","G2","SH","","","Rare List"
"VAS","Aletris aurea","Golden Colicroot","<i>Aletris aurea</i> Walt.","","","G5","S1","","","Rare List"
"VAS","Allium allegheniense","Allegheny onion","<i>Allium allegheniense</i> Small","","Under <i>A. cernuum</i> Roth in Fernald (1950) and Radford et al. (1968)","G3?","S1","","","Rare List"
"VAS","Allium oxyphilum","Shale barren nodding onion","<i>Allium oxyphilum</i> Wherry","","","G2","S1","","","Rare List"
"VAS","Alnus rugosa","Speckled Alder","<i>Alnus rugosa</i> (Du Roi) Spreng.","<i>Alnus incana</i> ssp. <i>rugosa</i>","","G5T5","S2","","","Rare List"
"VAS","Amaranthus pumilus","Sea-beach amaranth","<i>Amaranthus pumilus</i> Raf.","","","G2","S1","LT","LT","Rare List"
"VAS","Amelanchier nantucketensis","Nantucket shadbush","<i>Amelanchier nantucketensis</i> Bickn.","","","G3Q","S1","","","Rare List"
"VAS","Amphicarpum amphicarpon","Pine-barrens peanut grass","<i>Amphicarpum amphicarpon</i> (Pursh) Nash","","","G3G4","S1","","","Rare List"
"VAS","Anaphalis margaritacea","Pearly Everlasting","<i>Anaphalis margaritacea</i> (L.) Benth. & Hook. f.","","","G5","S1","","","Rare List"
"VAS","Andropogon mohrii","Mohr's bluestem","<i>Andropogon mohrii</i> (Hack.) Hack. ex Vasey","","","G4?","SH","","","Rare List"
"VAS","Anemonastrum canadense","Canada Anemone","<i>Anemonastrum canadense</i> (L.) Mosyakin","<i>Anemone canadensis</i>","","G5","SH","","","Rare List"
"VAS","Anemone berlandieri","Eastern prairie anemone","<i>Anemone berlandieri</i> Pritz.","","","G4G5","S1","","","Rare List"
"NB","Aneura sharpii","A liverwort","<i>Aneura sharpii</i> Inoue &amp; N.G. Mill.","","","GNR","S1","","","Rare List"
"NB","Anomobryum julaceum","Slender Silver moss","<i>Anomobryum julaceum</i> (Schrad. ex P. Gaertn., B. Mey. & Scherb.) Schimp.","","","G5","S1","","","Rare List"
"NL","Anzia colpodes","Black foam lichen","<i>Anzia colpodes</i> (Ach.) Stizenb.","","","G3G5","S1","","","Rare List"
"NB","Apopellia megaspora","Endive pellia","<i>Apopellia megaspora</i> (R. M. Schust.) Nebel &amp; D. Quandt","<i>Pellia megaspora</i>","","GNR","SH","","","Rare List"
"VAS","Arabis adpressipilis","Hairy rock cress","<i>Arabis adpressipilis</i> (M. Hopkins) Al-Shehbaz","<i>Arabis hirsuta</i> var. <i>adpressipilis</i>","","G5T4","S1S2","","","Rare List"
"VAS","Arabis patens","Spreading rock cress","<i>Arabis patens</i> Sullivant","","","G3","S1","","","Rare List"
"VAS","Aralia hispida","Bristly Sarsaparilla","<i>Aralia hispida</i> Vent.","","","G5","S2","","","Rare List"
"NL","Arctoparmelia centrifuga","Concentric-ring lichen","<i>Arctoparmelia centrifuga</i> (L.) Hale","","","G5","S1","","","Rare List"
"VAS","Arctostaphylos uva-ursi","Bearberry","<i>Arctostaphylos uva-ursi</i> (L.) Spreng.","","","G5","S1","","","Rare List"
"VAS","Arenaria lanuginosa var. lanuginosa","Spreading sandwort","<i>Arenaria lanuginosa</i> (Michx.) Rohrb. var. <i>lanuginosa</i>","","","G5T5","SH","","","Rare List"
"VAS","Arethusa bulbosa","Dragon's-mouth","<i>Arethusa bulbosa</i> L.","","","G5","SH","","","Rare List"
"VAS","Arnoglossum reniforme","Great Indian-plantain","<i>Arnoglossum reniforme</i> (Hook.) H.E. Robins.","<i>Arnoglossum muehlenbergii</i>","","G4","S2","","","Rare List"
"VAS","Asclepias longifolia","Long-leaf Milkweed","<i>Asclepias longifolia</i> Michx.","","","G4G5","S1","","","Rare List"
"VAS","Asclepias rubra","Red Milkweed","<i>Asclepias rubra</i> L.","","","G4G5","S2","","","Rare List"
"VAS","Asclepias tuberosa var. rolfsii","Sandhills butterfly-weed","<i>Asclepias tuberosa L. var. rolfsii</i> (Britton ex Vail) Shinners","","","G5TNR","S1","","","Rare List"
"VAS","Asplenium bradleyi","Bradley's Spleenwort","<i>Asplenium bradleyi</i> D.C. Eat.","","","G4","S2","","","Rare List"
"VAS","Astragalus distortus var. distortus","Ozark milkvetch","<i>Astragalus distortus</i> Torr. & Gray var. <i>distortus</i>","","","G5T5?","S1","","","Rare List"
"VAS","Astragalus neglectus","Cooper's Milkvetch","<i>Astragalus neglectus</i> (Torr. & Gray) Sheldon","","","G4","S2","","","Rare List"
"VAS","Athyrium angustum","Northern Lady Fern","<i>Athyrium angustum</i> (Willd.) K. Presl","","","G5T5","S1","","","Rare List"
"VAS","Atriplex glabriuscula","Maritime orach","<i>Atriplex glabriuscula</i> Edmondston","","","G5","SH","","","Rare List"
"VAS","Bacopa caroliniana","Blue water-hyssop","<i>Bacopa caroliniana</i> (Walt.) B.L. Robins.","","","G4G5","SH","","","Rare List"
"VAS","Bacopa innominata","Tropical Water-hyssop","<i>Bacopa innominata</i> (G. Maza) Alain","","Virginia material formerly named <i>B</i>. <i>stragula</i> Fern.","G3G5","S2","","","Rare List"
"VAS","Bacopa rotundifolia","Round-leaf water-hyssop","<i>Bacopa rotundifolia</i> (Michx.) Wettst.","","Virginia material formerly named <i>B. simulans</i> Fern.","G5","SH","","","Rare List"
"VAS","Baptisia albescens","Narrow-pod white wild indigo","<i>Baptisia albescens</i> Small","","","G4","S1","","","Rare List"
"VAS","Baptisia cinerea","Gray-hairy wild indigo","<i>Baptisia cinerea</i> (Raf.) Fern. & Schub.","","","G3G4","SH","","","Rare List"
"VAS","Bartonia verna","Spring Bartonia","<i>Bartonia verna</i> (Michx.) Raf. ex Bart.","","","G5?","S1","","","Rare List"
"NB","Bazzania nudicaulis","A liverwort","<i>Bazzania nudicaulis</i> Evans","","","G2G3","S1","","","Rare List"
"NB","Bazzania tricrenata","Three-toothed whip liverwort","<i>Bazzania tricrenata</i> (Wahlenb.) Lindb.","","","G4T4","S1","","","Rare List"
"VAS","Betula lenta var. uber","Virginia Roundleaf birch","<i>Betula lenta</i> L. var. <i>uber</i> Ashe","<i>Betula uber</i>","","G1Q","S1","LT","LE","Rare List"
"VAS","Betula papyrifera","Paper Birch","<i>Betula papyrifera</i> Marsh.","","Virginia material has traditionally been treated as <i>Betula cordifolia</i> but most populations closely resemble <i>B. papyrifera</i>. They are under study.","G5","S2","","","Rare List"
"VAS","Betula populifolia","Gray Birch","<i>Betula populifolia</i> Marsh.","","","G5","S1","","","Rare List"
"NB","Blindia acuta","Sharp's blindleaf moss","<i>Blindia acuta</i> (Hedw.) Bruch & Schimp. in B.S.G.","","","G5","S1","","","Rare List"
"VAS","Boechera dentata","Short's rock cress","<i>Boechera dentata</i> (Rafinesque) Al-Shehbaz & Zarucchi","<i>Arabis shortii</i>","","G5","S1","","","Rare List"
"VAS","Boechera serotina","Shale barren rock cress","<i>Boechera serotina</i> (Steele) Windham & Al-Shehbaz","<i>Arabis serotina</i>","","G2","S2","LE","LT","Rare List"
"VAS","Bolboschoenus fluviatilis","River Bulrush","<i>Bolboschoenus fluviatilis</i> (Torr.) Sojak","<i>Schoenoplectus fluviatilis</i>","","G5","S2","","","Rare List"
"VAS","Boltonia asteroides var. glastifolia","Eastern doll's-daisy","<i>Boltonia asteroides </i>(L.) L'Her. var. <i>glastifolia</i> (Hill) Fern.","","","G5TNR","S2","","","Rare List"
"VAS","Boltonia montana","Valley doll's-daisy","<i>Boltonia montana</i> J.F. Townsend & V. Karaman-Castro","","","G2","S1","","LE","Rare List"
"VAS","Botrychium angustisegmentum","Triangle grape fern","<i>Botrychium angustisegmentum</i> (Pease & Moore) Fern.","","","G5T4T5","S1","","","Rare List"
"VAS","Botrychium simplex var. simplex","Dwarf grape fern","<i>Botrychium simplex</i> E. Hitchc. var. <i>simplex</i>","","","G5T3T4","S1","","","Rare List"
"VAS","Bromus ciliatus","Fringed brome grass","<i>Bromus ciliatus</i> L.","","","G5","S1","","","Rare List"
"VAS","Bromus kalmii","Arctic brome","<i>Bromus kalmii</i> Gray","","","G5","S1","","","Rare List"
"NB","Bryoerythrophyllum ferruginascens","Bryoerythrophyllum moss","<i>Bryoerythrophyllum ferruginascens</i> (Stirt.) Giac.","","","G3G4","S1","","","Rare List"
"VAS","Buchnera americana","American bluehearts","<i>Buchnera americana</i> L.","","","G4G5","S1S2","","","Rare List"
"VAS","Buckleya distichophylla","Piratebush","<i>Buckleya distichophylla</i> (Nutt.) Torr.","","","G3","S2","","","Rare List"
"NL","Buellia stellulata","Button lichen","<i>Buellia stellulata</i> (Taylor) Mudd","","","GNR","S1","","","Rare List"
"VAS","Burmannia biflora","Violet Burmannia","<i>Burmannia biflora</i> L.","","","G4G5","S1","","","Rare List"
"VAS","Cabomba caroliniana","Carolina Fanwort","<i>Cabomba caroliniana</i> Gray","","","G5","S1S2","","","Rare List"
"VAS","Calamovilfa brevipilis","Pine barren sandreed","<i>Calamovilfa brevipilis</i> (Torr.) Scribn.","","","G4","S1","","","Rare List"
"NB","Calliergon cordifolium","Calliergon moss","<i>Calliergon cordifolium</i> (Hedw.) Kindb.","","","G5","S1","","","Rare List"
"VAS","Calopogon pallidus","Pale Grass-pink","<i>Calopogon pallidus</i> Chapman","","","G4","S1","","","Rare List"
"VAS","Calopogon tuberosus var. tuberosus","Tuberosus Grass-pink","<i>Calopogon tuberosus</i> (L.) B.S.P. var. <i>tuberosus</i>","","","G5T5","S1S2","","","Rare List"
"NL","Calvitimela talayana","A lichen","<i>Calvitimela talayana</i> (Haugan & Timdal) Andreev","","","GNR","S1","","","Rare List"
"VAS","Calycanthus floridus","Sweet-shrub","<i>Calycanthus floridus</i> L.","","","G5","S1","","","Rare List"
"VAS","Calystegia catesbeiana","Catesby's false bindweed","<i>Calystegia catesbeiana</i> Pursh","","","G4","S1","","","Rare List"
"VAS","Camassia scilloides","Wild Hyacinth","<i>Camassia scilloides</i> (Raf.) Cory","","","G5","S1","","","Rare List"
"VAS","Campanula rotundifolia","Harebell","<i>Campanula rotundifolia</i> L.","","","G5","S1","","","Rare List"
"NB","Campylopus carolinae","A moss","<i>Campylopus carolinae</i> Grout","","","G2","S1","","","Rare List"
"NB","Campylopus surinamensis","A moss","<i>Campylopus surinamensis</i> C. Mull.","","","G4G5","S1","","","Rare List"
"NL","Canoparmelia alabamensis","A lichen","<i>Canoparmelia alabamensis</i> (Hale &amp; McCull.) Elix","","","GNR","S1","","","Rare List"
"VAS","Cardamine clematitis","Mountain Bittercress","<i>Cardamine clematitis</i> Shuttlw. ex Gray","","","G3","S1","","","Rare List"
"VAS","Cardamine dissecta","Fork-leaf toothwort","<i>Cardamine dissecta</i> (Leavenworth) Al-Shehbaz","","","G4?","S1","","","Rare List"
"VAS","Cardamine flagellifera","Blue Ridge bittercress","<i>Cardamine flagellifera</i> O.E. Schulz","","","G3","S1","","","Rare List"
"VAS","Cardamine micranthera","Small-anthered Bittercress","<i>Cardamine micranthera</i> Rollins","","","G2","S2","LE","LE","Rare List"
"VAS","Cardamine pratensis var. palustris","Cuckoo-flower","<i>Cardamine pratensis</i> L. var. <i>palustris</i> Wimm. & Grab.","","","G5","S1","","","Rare List"
"VAS","Carex aestivaliformis","Small-fruited summer sedge","<i>Carex aestivaliformis</i> Mackenzie","<i>Carex</i> x <i>aestivaliformis</i>","","GNA","S1","","","Rare List"
"VAS","Carex aquatilis var. substricta","Aquatic sedge","<i>Carex aquatilis</i> Wahlenb. var. <i>substricta</i> Kukenth.","","","G5T5","S1","","","Rare List"
"VAS","Carex arctata","Black Sedge","<i>Carex arctata</i> Boott ex Hook.","","","G5","S1","","","Rare List"
"VAS","Carex atherodes","Awned Sedge","<i>Carex atherodes</i> Spreng.","","","G5","S1","","","Rare List"
"VAS","Carex barrattii","Barratt's Sedge","<i>Carex barrattii</i> Schwein. & Torr.","","","G4","S2","","","Rare List"
"VAS","Carex buxbaumii","Brown Bog Sedge","<i>Carex buxbaumii</i> Wahlenb.","","","G5","S2","","","Rare List"
"VAS","Carex conoidea","Field Sedge","<i>Carex conoidea</i> Schkuhr ex Willd.","","","G5","S1S2","","","Rare List"
"VAS","Carex crawei","Crawe's sedge","<i>Carex crawei</i> Dewey","","","G5","S2","","","Rare List"
"VAS","Carex cristatella","Crested Sedge","<i>Carex cristatella</i> Britt.","","","G5","S1","","","Rare List"
"VAS","Carex crus-corvi","Crowfoot sedge","<i>Carex crus-corvi</i> Shuttlw. ex Kunze","","","G5","S2","","","Rare List"
"VAS","Carex davisii","Davis's sedge","<i>Carex davisii</i> Schwein. & Torr.","","","G5","S1","","","Rare List"
"VAS","Carex decomposita","Cypress-knee sedge","<i>Carex decomposita</i> Muhl.","","","G3G4","S1","","","Rare List"
"VAS","Carex flava","Yellow sedge","<i>Carex flava</i> L.","","","G5","S1","","","Rare List"
"VAS","Carex interior","Inland Sedge","<i>Carex interior</i> Bailey","","","G5","S1S2","","","Rare List"
"VAS","Carex juniperorum","Juniper sedge","<i>Carex juniperorum</i> Catling, Reznicek, &amp; Crins","","","G3","S1","","LE","Rare List"
"VAS","Carex lacustris","Lake-shore sedge","<i>Carex lacustris</i> Willd.","","","G5","S1","","","Rare List"
"VAS","Carex lasiocarpa var. americana","Slender Sedge","<i>Carex lasiocarpa</i> Ehrh. var. <i>americana</i> Fern.","","","G5T5","S1","","","Rare List"
"VAS","Carex lupuliformis","False Hop Sedge","<i>Carex lupuliformis</i> Sartwell ex Dewey","","","G5","S1S2","","","Rare List"
"VAS","Carex manhartii","Blue Ridge purple sedge","<i>Carex manhartii</i> Bryson","","","G3G4","S1","","","Rare List"
"VAS","Carex ormostachya","Necklace spike sedge","<i>Carex ormostachya</i> Wieg.","","","G4G5","S1","","","Rare List"
"VAS","Carex pallescens","Pale Sedge","<i>Carex pallescens</i> L.","","","G5","S1","","","Rare List"
"VAS","Carex polymorpha","Variable Sedge","<i>Carex polymorpha</i> Muhl.","","","G3","S2","","","Rare List"
"VAS","Carex prairea","Prairie Sedge","<i>Carex prairea</i> Dewey ex Wood","","","G5","S1","","","Rare List"
"VAS","Carex reniformis","Kidney sedge","<i>Carex reniformis</i> (Bailey) Small","","","G4?","S1","","","Rare List"
"VAS","Carex roanensis","Roan Mountain Sedge","<i>Carex roanensis</i> F.J. Herm.","","","G3","S2","","","Rare List"
"VAS","Carex schweinitzii","Schweinitz's Sedge","<i>Carex schweinitzii</i> Dewey ex Schwein.","","","G3G4","S1","","","Rare List"
"VAS","Carex silicea","Sea-beach Sedge","<i>Carex silicea</i> Olney","","","G5","S1","","","Rare List"
"VAS","Carex sp. 3","A Sedge","<i>Carex</i> sp. 3 ","","","G1","S1","","","Rare List"
"VAS","Carex sterilis","Sterile Sedge","<i>Carex sterilis</i> Willd.","","","G4G5","S1","","","Rare List"
"VAS","Carex straminea","Straw Sedge","<i>Carex straminea</i> Willd. ex Schkuhr","","","G4","S1","","","Rare List"
"VAS","Carex utriculata","Beaked Sedge","<i>Carex utriculata</i> Boott","","","G5","S1","","","Rare List"
"VAS","Carex vesicaria","Inflated Sedge","<i>Carex vesicaria</i> L.","","","G5","S1S2","","","Rare List"
"VAS","Carex vestita","Velvet sedge","<i>Carex vestita</i> Willd.","","","G4","S2","","","Rare List"
"VAS","Carphephorus bellidifolius","Sandy-woods Chaffhead","<i>Carphephorus bellidifolius</i> (Michx.) Torr. & Gray","","","G4","S1S2","","","Rare List"
"VAS","Carphephorus tomentosus","Woolly Chaffhead","<i>Carphephorus tomentosus</i> (Michx.) Torr. & Gray","","","G4","S1","","","Rare List"
"VAS","Cartrema americanum","Wild Olive","<i>Cartrema americanum</i> (Linnaeus) Nesom","<i>Osmanthus americanus</i>","","G5","S1","","","Rare List"
"VAS","Carya carolinae-septentrionalis","Carolina shagbark hickory","<i>Carya carolinae-septentrionalis</i> (Ashe) Engl. & Graebn.","","","G5?","S1","","","Rare List"
"VAS","Centunculus minimus","Chaffweed","<i>Centunculus minimus</i> L.","<i>Anagallis minima</i>","","G5","S1","","","Rare List"
"NB","Cephaloziella spinicaulis","A liverwort","<i>Cephaloziella spinicaulis</i> Douin","","","G4","S1","","","Rare List"
"VAS","Cerastium velutinum var. velutinum","Field chickweed","<i>Cerastium velutinum</i> Raf. var. <i>velutinum</i>","<i>Cerastium arvense</i> ssp. <i>velutinum</i>","","G5T4?","S1S2","","","Rare List"
"NL","Cetradonia linearis","Rock gnome lichen","<i>Cetradonia linearis</i> (Evans) Wei & Ahti","<i>Gymnoderma lineare</i>","","G3","S1","LE","","Rare List"
"NL","Cetrelia monachorum","Sea-storm lichen","<i>Cetrelia monachorum</i> (Zahlbr.) Culb. & C. Culb.","","","G2G4","SH","","","Rare List"
"VAS","Chelone cuthbertii","Cuthbert's Turtlehead","<i>Chelone cuthbertii</i> Small","","","G3","S2","","","Rare List"
"VAS","Chelone obliqua var. obliqua","Red Turtlehead","<i>Chelone obliqua</i> L. var. <i>obliqua</i>","","","G4T3T4Q","S1","","","Rare List"
"VAS","Chenopodium foggii","Fogg's goosefoot","<i>Chenopodium foggii</i> H.A. Wahl","","","G2G3","S1?","","","Rare List"
"VAS","Chrysopsis gossypina","Cottony Golden-aster","<i>Chrysopsis gossypina</i> (Michx.) Ell.","","","G5","S1","","","Rare List"
"VAS","Cicuta bulbifera","Bulb-bearing Water-hemlock","<i>Cicuta bulbifera</i> L.","","","G5","SH","","","Rare List"
"NB","Cirriphyllum piliferum","Cirriphyllum moss","<i>Cirriphyllum piliferum</i> (Hedw.) Grout","","","G5","S1","","","Rare List"
"VAS","Cirsium altissimum","Tall Thistle","<i>Cirsium altissimum</i> (L.) Hill","","","G5","S1","","","Rare List"
"VAS","Cirsium carolinianum","Carolina Thistle","<i>Cirsium carolinianum</i> (Walt.) Fern. & Schub.","","","G5","S1","","","Rare List"
"VAS","Cirsium nuttallii","Nuttall's Thistle","<i>Cirsium nuttallii</i> DC.","","","G5","SH","","","Rare List"
"VAS","Cirsium repandum","Sandhill thistle","<i>Cirsium repandum</i> Michx.","","","G5","SH","","","Rare List"
"VAS","Cirsium virginianum","Virginia Thistle","<i>Cirsium virginianum</i> (L.) Michx.","","","G4","S2","","","Rare List"
"VAS","Cladium jamaicense","Sawgrass","<i>Cladium jamaicense</i> Crantz","","","G5T5","S1S2","","","Rare List"
"NL","Cladonia coccifera","A Cladonia","<i>Cladonia coccifera</i> (L.) Willd.","","","G5","S1?","","","Rare List"
