GRPSORT,SNAME,COMMON_NAME,Author,synname,ALTSYN,GRANK,SRANK,FEDSTAT,SPROT,TRK,,,,,,,,,,,,,,
IIEPH,Isonychia hoffmani,Hoffman's Isonychia Mayfly,"Isonychia hoffmaniÿKondratieff and Voshell, 1984",,,G1G3,S1,,,Rare List,,,,,,,,,,,,,,
IIEPH,Isonychia serrata,A Mayfly,"Isonychia serrataÿTraver, 1932",,,G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IIEPH,Leptophlebia johnsoni,Johnson's Pronggill Mayfly,"Leptophlebia johnsoniÿMcDunnough, 1924",,,G4,SH,,,Rare List,,,,,,,,,,,,,,
IIEPH,Neoephemera eatoni,A Mayfly,"Neoephemera eatoniÿHolland, Beaty and Jacobus, 2016",,,GNR,S1?,,,Rare List,,,,,,,,,,,,,,
IIEPH,Nixe spinosa,A flat-headed mayfly,"Nixe spinosaÿ(Traver, 1933)",,,G5,S1S3,,,Rare List,,,,,,,,,,,,,,
IIEPH,Pseudiron centralis,White sand-river mayfly,"Pseudiron centralisÿMcDunnough, 1931",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
IIEPH,Siphloplecton costalense,Spieth's Great Speckled Olive Mayfly,"Siphloplecton costalenseÿSpieth, 1938",,,G2G4,SH,,,Rare List,,,,,,,,,,,,,,
IIEPH,Tsalia berneri,Berner's Ephemerella Mayfly,"Tsalia berneriÿ(Allen and Edmunds, 1958)",Ephemerella berneri,,G4,S2,,,Rare List,,,,,,,,,,,,,,
IIHEM,Bothynotus johnstoni,A Mirid Bug,"Bothynotus johnstoniÿKnight, 1933",,,G3,S1S3,,,Rare List,,,,,,,,,,,,,,
IIHEM,Chelinidea vittiger,Opuntia Squash Bug,"Chelinidea vittigerÿUhler, 1863",,,G3G5,S1,,,Rare List,,,,,,,,,,,,,,
IIHEM,Chlorochroa dismalia,Dismal Swamp Green Stink Bug,"Chlorochroa dismaliaÿThomas, 1983",,,G1G3,S1S3,,,Rare List,,,,,,,,,,,,,,
IIHEM,Gnathobleda litigiosa,An assassin bug,"Gnathobleda litigiosaÿStal, 1862",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
IIHEM,Limnoporus dissortis,A Water Strider,"Limnoporus dissortisÿ(Drake and Harris, 1930)",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
IIHEM,Phytocoris hoffmani,Spruce plant bug,"Phytocoris hoffmaniÿHenry, 2009",,,GNR,S1S3,,,Rare List,,,,,,,,,,,,,,
IIHEM,Ploiaria carolina,Carolina Thread-legged Bug,"Ploiaria carolinaÿ(Herrich-Schaffer, 1850)",,,G4?,S1S3,,,Rare List,,,,,,,,,,,,,,
IIHEM,Pnirontis brimleyi,Brimley's Assassin Bug,"Pnirontis brimleyiÿBlatchley, 1926",,,G2,S1S3,,,Rare List,,,,,,,,,,,,,,
IIHEM,Pycnoderiella virginiana,Seashore Mirid Bug,"Pycnoderiella virginianaÿHenry, 1993",,,GU,SU,,,Rare List,,,,,,,,,,,,,,
IIHEM,Ramphocorixa acuminata,Acuminate Water Boatman,"Ramphocorixa acuminataÿ(Uhler, 1897)",,,G4,S1,,,Rare List,,,,,,,,,,,,,,
IIHEM,Sigara depressa,Virginia Piedmont Water Boatman,Sigara depressaÿHungerford (1948),,,G1G2,S1S2,,LE,Rare List,,,,,,,,,,,,,,
IIHEM,Stenocoris tipuloides,Neotropical Rice Bug,"Stenocoris tipuloidesÿ(DeGeer, 1773)",,,G5,S1S3,,,Rare List,,,,,,,,,,,,,,
IIHOM,Puto kosztarabi,Buffalo Mountain Mealybug,"Puto kosztarabiÿMiller and Miller, 1993",,,G1,S1,,LE,Rare List,,,,,,,,,,,,,,
IIHYM,Andrena mendica,A mining bee,"Andrena mendicaÿMitchell, 1960",,,GNR,SH,,,Rare List,,,,,,,,,,,,,,
IIHYM,Anthophorula micheneri,A bee,"Anthophorula micheneriÿ(Timberlake, 1947)",,,GNR,S1S3,,,Rare List,,,,,,,,,,,,,,
IIHYM,Bombus affinis,Rusty-patched Bumblebee,"Bombus affinisÿCresson, 1863",,,G2,S1,LE,LE,Rare List,,,,,,,,,,,,,,
IIHYM,Bombus bohemicus,Ashton cuckoo bumble bee,"BombusÿbohemicusÿSeidl, 1837",Bombus ashtoni,,G3G5,S1,,,Rare List,,,,,,,,,,,,,,
IIHYM,Bombus fraternus,Southern Plains bumble bee,"Bombus fraternusÿ(Smith, 1854)",,,G3G4,S2,,,Rare List,,,,,,,,,,,,,,
IIHYM,Bombus ternarius,Tri-colored Bumble Bee,"Bombus ternariusÿSay, 1837",,,G5,SH,,,Rare List,,,,,,,,,,,,,,
IIHYM,Bombus terricola,Yellow-banded bumble bee,"Bombus terricolaÿKirby, 1837",,,G3G4,S1,,,Rare List,,,,,,,,,,,,,,
IIHYM,Bombus variabilis,Variable cuckoo bumble bee,"Bombus variabilisÿ(Cresson, 1872)",,,G1G2,SH,,,Rare List,,,,,,,,,,,,,,
IIHYM,Colletes ciliatus,a cellophane bee,"Colletes ciliatusÿPatton, 1879",,,GNR,S1,,,Rare List,,,,,,,,,,,,,,
IIHYM,Colletes thysanellae,A cellophane bee,"Colletes thysanellaeÿMitchell, 1951",,,GNR,S1S3,,,Rare List,,,,,,,,,,,,,,
IIHYM,Dianthidium simile,A leafcutter bee,"Dianthidium simileÿ(Cresson, 1864)",,,GNR,S1S2,,,Rare List,,,,,,,,,,,,,,
IIHYM,Epeoloides pilosulus,Macropis Cuckoo bee,"Epeoloides pilosulusÿ(Cresson, 1878)",,,G3,SH,,,Rare List,,,,,,,,,,,,,,
IIHYM,Epeolus americanus,American epeolus,"Epeolus americanusÿ(Cresson, 1878)",,,GNR,S1S2,,,Rare List,,,,,,,,,,,,,,
IIHYM,Epeolus banksi,Banks' Epeolus,"Epeolus banksiÿ(Cockerell, 1907)",,,GNR,SH,,,Rare List,,,,,,,,,,,,,,
IIHYM,Hylaeus saniculae,Sanicle yellow-faced bee,"Hylaeus saniculaeÿ(Robertson, 1896)",,,GNR,S1S3,,,Rare List,,,,,,,,,,,,,,
IIHYM,Macropis ciliata,Fringed loosestrife oil-collecting bee,"Macropis ciliataÿPatton, 1880",,,GNR,S2,,,Rare List,,,,,,,,,,,,,,
IIHYM,Macropis patellata,An oil-collecting bee,"Macropis patellataÿPatton, 1880",,,GNR,S1,,,Rare List,,,,,,,,,,,,,,
IIHYM,Macropis steironematis,An oil-collecting bee,"Macropis steironematisÿRobertson, 1891",,,GNR,SH,,,Rare List,,,,,,,,,,,,,,
IIHYM,Megachile integra,a leafcutter bee,"Megachile integraÿCresson, 1878",,,G2G3,S1,,,Rare List,,,,,,,,,,,,,,
IIHYM,Megachile rubi,A leafcutter bee,"Megachile rubiÿMitchell, 1924",,,G3,S1S2,,,Rare List,,,,,,,,,,,,,,
IIHYM,Nomia maneei,a nomia bee,"Nomia maneeiÿCockerell, 1910",,,G3?,S1S2,,,Rare List,,,,,,,,,,,,,,
IIHYM,Osmia illinoensis,A mason bee,"Osmia illinoensisÿRobertson, 1897",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
IIHYM,Protandrena abdominalis,A mining bee,"Protandrena abdominalisÿ(Cresson, 1878)",,,GNR,SH,,,Rare List,,,,,,,,,,,,,,
IIHYM,Pseudopanurgus virginicus,A mining bee,"Pseudopanurgus virginicusÿ(Cockerell, 1907)",,,GNR,S1S3,,,Rare List,,,,,,,,,,,,,,
IIHYM,Rhadinoceraea zigadenusae,Death-camas Sawfly,"Rhadinoceraea zigadenusaeÿSmith, 1990",,,GNR,S1,,,Rare List,,,,,,,,,,,,,,
IIHYM,Trachusa dorsalis,a leafcutter bee,"Trachusa dorsalisÿ(Lepeletier, 1841)",,,GNR,S1,,,Rare List,,,,,,,,,,,,,,
IIHYM,Xylocopa micans,Southern carpenter bee,"Xylocopa micansÿLepeletier, 1841",,,G5,S2S3,,,Rare List,,,,,,,,,,,,,,
IILED,Coptotriche perplexa,Chestnut Leaf-mining Moth,"Coptotriche perplexaÿ(Braun, 1972)",Tischeria perplexa,,GHQ,SH,,,Rare List,,,,,,,,,,,,,,
IILEK,Synanthedon castaneae,Chestnut Clearwing Moth,"Synanthedon castaneaeÿ(Busck, 1913)",,,G3G5,SH,,,Rare List,,,,,,,,,,,,,,
IILEP,Amblyscirtes alternata,Dusky Roadside Skipper,"Amblyscirtes alternataÿ(Grote and Robinson, 1867)",,,G3G4,SH,,,Rare List,,,,,,,,,,,,,,
IILEP,Anaea andria,Goatweed Leafwing,"Anaea andriaÿScudder, 1875",,,G4G5,S1,,,Rare List,,,,,,,,,,,,,,
IILEP,Atrytone arogos arogos,Arogos Skipper,"Atrytone arogos arogosÿ(Boisduval and Le Conte, [1837])",,,G2G3T1T2,SH,,,Rare List,,,,,,,,,,,,,,
IILEP,Boloria myrina,Silver-bordered Fritillary,"Boloria myrinaÿ(Cramer, 1777)",,,G5?,S2,,,Rare List,,,,,,,,,,,,,,
IILEP,Calephelis borealis,Northern Metalmark,"Calephelis borealisÿ(Grote and Robinson, 1866)",,,G3,S2S3,,,Rare List,,,,,,,,,,,,,,
IILEP,Calephelis virginiensis,Little Metalmark,"Calephelis virginiensisÿ(Gu‚rin-M‚neville, [1832])",,,G4,SH,,,Rare List,,,,,,,,,,,,,,
IILEP,Callophrys hesseli,Hessel's Hairstreak,"Callophrys hesseliÿ(Rawson and Ziegler, 1950)",Mitoura hesseli,,G3,S1,,,Rare List,,,,,,,,,,,,,,
IILEP,Callophrys irus,Frosted Elfin,"Callophrys irusÿ(Godart, [1824])",Incisalia irus,,G3,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEP,Callophrys polios,Hoary Elfin,"Callophrys poliosÿ(Cook and Watson, 1907)",Incisalia polios,,G5,SH,,,Rare List,,,,,,,,,,,,,,
IILEP,Chlosyne harrisii,Harris's checkerspot,"Chlosyne harrisiiÿ(Scudder, 1863)",,,G4?,S1,,,Rare List,,,,,,,,,,,,,,
IILEP,Colias interior,Pink-edged Sulphur,"Colias interiorÿScudder, 1862",,,G5,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEP,Erora laeta,Early Hairstreak,"Erora laetaÿ(Edwards, 1862)",,,G2G3,S2,,,Rare List,,,,,,,,,,,,,,
IILEP,Erynnis lucilius,Columbine Duskywing,"Erynnis luciliusÿ(Scudder and Burgess, 1870)",,,G3,SH,,,Rare List,,,,,,,,,,,,,,
IILEP,Erynnis martialis,Mottled Duskywing,"Erynnis martialisÿ(Scudder, [1870])",,,G3,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEP,Erynnis persius persius,Persius Duskywing,"Erynnis persius persiusÿ(Scudder, 1863)",,,G5T1T3,SH,,,Rare List,,,,,,,,,,,,,,
IILEP,Euchloe olympia,Olympia Marble,"Euchloe olympiaÿ(W.H. Edwards, 1871)",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
IILEP,Euphyes bimacula,Two-spotted Skipper,"Euphyes bimaculaÿ(Grote and Robinson, 1867)",,,G4,S2,,,Rare List,,,,,,,,,,,,,,
IILEP,Euphyes conspicua,Black Dash,"Euphyes conspicuaÿ(Edwards, 1863)",,,G4G5,SH,,,Rare List,,,,,,,,,,,,,,
IILEP,Euphyes dukesi,Dukes' Skipper,"Euphyes dukesiÿ(Lindsey, 1923)",,,G3G4,S2,,,Rare List,,,,,,,,,,,,,,
IILEP,Euphyes pilatka,Palatka Skipper,"Euphyes pilatkaÿ(Edwards, 1867)",,,G3,S1,,,Rare List,,,,,,,,,,,,,,
IILEP,Hesperia attalus slossonae,Dotted Skipper,"Hesperia attalus slossonaeÿ(Skinner, 1890)",,,G3G4T3,SX,,,Rare List,,,,,,,,,,,,,,
IILEP,Lycaena hyllus,Bronze Copper,"Lycaena hyllusÿ(Cramer, 1775)",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
IILEP,Megathymus yuccae,Yucca Giant Skipper,"Megathymus yuccaeÿ(Boisduval and Le Conte, [1837])",,,G5,SH,,,Rare List,,,,,,,,,,,,,,
IILEP,Neonympha areolatus,Georgia satyr,"Neonympha areolatusÿ(J.E. Smith, 1797)","Neonympha helicta,ÿNeonympha areolatus septentrionalis",,G3G4,S2,,,Rare List,,,,,,,,,,,,,,
IILEP,Neonympha mitchellii,Mitchell's satyr,"Neonympha mitchelliiÿFrench, 1889",,,G2,S1,LE,LE,Rare List,,,,,,,,,,,,,,
IILEP,Phyciodes batesii batesii,Tawny Crescent,"Phyciodes batesii batesiiÿ(Reakirt, [1866])",,,G3G4T1,SX,,,Rare List,,,,,,,,,,,,,,
IILEP,Phyciodes cocyta,Northern Pearly Crescent,"Phyciodes cocytaÿ(Cramer, 1777)","Phyciodes pascoensis,ÿPhyciodes selenis",,G5,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEP,Polygonia faunus smythi,Smyth's Green Comma,"Polygonia faunus smythiÿClark, 1937",,,G5T3,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEP,Problema bulenta,Rare Skipper,"Problema bulentaÿ(Boisduval and Le Conte, [1837])",,,G3,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEP,Pyrgus centaureae wyandot,Appalachian Grizzled Skipper,"Pyrgus centaureae wyandotÿ(Edwards, 1863)",Pyrgus wyandot,,G5T1T2,S1,,LT,Rare List,,,,,,,,,,,,,,
IILEP,Satyrium kingi,King's Hairstreak,"Satyrium kingiÿ(Klots and Clench, 1952)",,,G3G4,S2S3,,,Rare List,,,,,,,,,,,,,,
IILEP,Speyeria atlantis,Atlantis Fritillary,"Speyeria atlantisÿ(Edwards, 1862)",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
IILEP,Speyeria idalia,Regal Fritillary,"Speyeria idaliaÿ(Drury, 1773)",,,G3?,SH,,,Rare List,,,,,,,,,,,,,,
IILEU,Apodrepanulatrix liberaria,New Jersey Tea Inchworm Moth,"Apodrepanulatrix liberariaÿ(Walker, 1860)",,,G3,S2,,,Rare List,,,,,,,,,,,,,,
IILEU,Cymatophora approximaria,Giant gray Moth,"Cymatophora approximariaÿHbner, 1812",,,G4G5,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEU,Erastria coloraria,Broad-lined Erastria moth,"Erastria colorariaÿ(Fabricius, 1798)",,,G3G4,S2?,,,Rare List,,,,,,,,,,,,,,
IILEU,Euchlaena milnei,Milne's Euchlaena Moth,"Euchlaena milneiÿMcDunnough, 1945",,,G2G4,S2,,,Rare List,,,,,,,,,,,,,,
IILEU,Eulithis propulsata,Currant Eulithis moth,"Eulithis propulsataÿ(Walker, 1862)",,,G5,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEU,Idaea tacturata,A Geometrid Moth,"Idaea tacturataÿ(Walker, 1861)",,,G4,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEU,Lytrosis permagnaria,Gray Lytrosis,"Lytrosis permagnariaÿ(Packard, 1876)",,,G3G4,S2,,,Rare List,,,,,,,,,,,,,,
IILEU,Macaria distribuaria,A Geometrid Moth,"Macaria distribuariaÿ(Hbner, [1831])",Semiothisa distribuaria,,G4,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEU,Nemoria tuscarora,An Emerald Moth,"Nemoria tuscaroraÿFerguson, 1969",,,GU,S2,,,Rare List,,,,,,,,,,,,,,
IILEU,Rheumaptera hastata,Spear-marked black moth,"Rheumaptera hastataÿ(Linnaeus, 1758)",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
IILEU,Speranza exonerata,Barrens Itame,"Speranza exonerataÿFerguson, 2008",,,G3G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEU,Speranza ribearia,Currant Spanworm Moth,"Speranza ribeariaÿ(Fitch, 1848)",Itame ribearia,,G5,S2S3,,,Rare List,,,,,,,,,,,,,,
IILEU,Xanthorhoe iduata,A Geometrid Moth,"Xanthorhoe iduataÿ(Guen‚e, [1858] in Boisduval and Guen‚e)",,,G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEW,Callosamia securifera,Sweetbay Silkmoth,"Callosamia securiferaÿ(Maassen, 1873)",,,G4,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Acrapex relicta,Cane Boring Moth,"Acrapex relictaÿFerguson, 1991",,,G4,S2S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Acronicta albarufa,Barrens Dagger Moth,"Acronicta albarufaÿGrote, 1874",,,G3G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Acronicta brumosa,A Dagger Moth,"Acronicta brumosaÿGuen‚e, 1852",,,G4?,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Acronicta dollii,Doll's Merolonch,"Acronicta dolliiÿ(Barnes and McDunnough, 1918)",Merolonche dolli,,G3G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Amolita roseola,Pink sedge moth,"Amolita roseolaÿSmith, 1903",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Anaplectoides brunneomedia,Brown-lined Dart Moth,"Anaplectoides brunneomediaÿMcDunnough, 1946",,,G4,S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Apamea smythi,Smyth's Apamea Moth,"Apamea smythiÿFranclemont, 1952",,,GH,SH,,,Rare List,,,,,,,,,,,,,,
IILEY,Aplectoides condita,A Noctuid Moth,"Aplectoides conditaÿ(Guen‚e, 1852)",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Arctia caja,Great Tiger Moth,"Arctia cajaÿ(Linnaeus, 1758)",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Argillophora furcilla,Silver Fork cane moth,"Argillophora furcillaÿGrote, 1873",,,G3G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Argyrostrotis deleta,A Noctuid Moth,"Argyrostrotis deletaÿ(Guen‚e, 1852)",,,G4G5,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Argyrostrotis sylvarum,Woodland chocolate moth,"Argyrostrotis sylvarumÿ(Guen‚e, 1852)",,,G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Brachionycha borealis,Boreal Fan Moth,"Brachionycha borealisÿ(Smith, 1899)",,,G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Callopistria granitosa,Granitosa fern moth,"Callopistria granitosaÿ(Guen‚e, 1852)",,,G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Catocala antinympha,Sweetfern underwing,"Catocala antinymphaÿ(Hbner, [1823])",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Catocala consors,An Underwing Moth,"Catocala consorsÿ(J.E. Smith, 1797)",,,G3?,SH,,,Rare List,,,,,,,,,,,,,,
IILEY,Catocala dulciola,Sweet Underwing,"Catocala dulciolaÿGrote, 1881",,,G3G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Catocala herodias gerhardi,Pine Barrens Underwing,"Catocala herodias gerhardiÿBarnes and Benjamin, 1927",,,G3T3,S2S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Catocala marmorata,Marbled Underwing,"Catocala marmorataÿW. H. Edwards, 1864",,,G3?,S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Catocala messalina,Messalina Underwing,"Catocala messalinaÿGuen‚e, 1852",,,G4?,SH,,,Rare List,,,,,,,,,,,,,,
IILEY,Catocala pretiosa pretiosa,Precious Underwing,"Catocala pretiosa pretiosaÿLintner, 1876",,,G4T2,SH,,,Rare List,,,,,,,,,,,,,,
IILEY,Catocala relicta,White underwing,"Catocala relictaÿWalker, [1858]",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Catocala ulalume,Ulalume Underwing,"Catocala ulalumeÿStrecker, 1878",,,G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Cerma cora,Owl-eyed Bird Dropping Moth,"Cerma coraÿHbner, 1818",,,G3G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Coelodasys apicalis,Plain Schizura,"Coelodasys apicalisÿGrote and Robinson, 1866",Schizura apicalis,,G3G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Crambidia cephalica,Yellow-headed Lichen Moth,"Crambidia cephalicaÿ(Grote and Robinson, 1870)",,,GU,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Ctenucha virginica,Virginia Ctenucha moth,"Ctenucha virginicaÿ(Esper, 1794)",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Cycnia collaris,Unexpected Cycnia moth,"Cycnia collarisÿ(Fitch, 1857)",Cycnia inopinatusCycnia inopinatus is a junior synonym of C. collaris,,G4,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Dargida rubripennis,Pink-streak Moth,"Dargida rubripennisÿ(Grote and Robinson, 1870)",Faronta rubripennis,,G3G4,S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Dichagyris grotei,A Noctuid Moth,"Dichagyris groteiÿ(Franclemont and Todd, 1983)","Richia grotei,ÿLoxagrotis apicalis",,G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Drasteria graphica,Graphic moth,"Drasteria graphicaÿHbner, 1818",,,G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Egira dolosa,Lined black aspen moth,"Egira dolosaÿ(Grote, 1880)",,,G5,SH,,,Rare List,,,,,,,,,,,,,,
IILEY,Euxoa fumalis,A dart moth,"Euxoa fumalisÿ(Grote, 1873)",,,GNR,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Euxoa immixta,Mixed Dart Moth,"Euxoa immixtaÿ(Grote, 1881)",,,G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Exyra ridingsii,Green pitcher plant moth,"Exyra ridingsiiÿ(Riley, 1874)",,,G2G4,SH,,,Rare List,,,,,,,,,,,,,,
IILEY,Franclemontia interrogans,A Cane Moth,"Franclemontia interrogansÿ(Walker, 1856)",,,G3G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Gondysia telma,Telma darkwing moth,"Gondysia telmaÿ(Sullivan, 2010)",Neadysgonia telma,,GNR,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Graphiphora augur,Double Dart Moth,"Graphiphora augurÿ(Fabricius, 1775)",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Hadena ectypa,Catchfly moth,"Hadena ectypaÿ(Morrison, 1875)",,,G3G4,S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Heterocampa astarte,A Prominent Moth,"Heterocampa astarteÿDoubleday, 1841",,,G4?,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Hypena appalachiensis,Appalachian Bomolocha,"Hypena appalachiensisÿ(L. Butler, 1987)",,,G3G4,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Hyppa contrasta,Summer Hyppa moth,"Hyppa contrastaÿMcDunnough, 1946",,,G5,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Leucania calidior,Cane Wainscot Moth,"Leucania calidiorÿ(Forbes, 1936)",,,G2G4,S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Lithomoia germana,American Brindle Moth,"Lithomoia germanaÿ(Morrison, 1875)",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Lithophane georgii,Large Grey Pinion Moth,"Lithophane georgiiÿGrote, 1875",,,G5,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Lithophane lemmeri,Lemmer's Pinion Moth,"Lithophane lemmeriÿ(Barnes and Benjamin, 1929)",,,G3G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Lithophane lepida adipel,A Pinion Moth,"Lithophane lepida adipelÿ(Benjamin, 1936)",Lithophane lepida adipel,,G4T4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Loscopia roblei,A cane moth,"Loscopia robleiÿQuinter and Lafontaine, 2009",,,G3G4,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Manulea bicolor,Bicolored moth,"Manulea bicolorÿ(Grote, 1864)",Eilema bicolor,,G5,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Meropleon ambifusca,Newman's brocade moth,"Meropleon ambifuscaÿ(Newman, 1948)",Meropleon ambifuscum,,G4G5,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Meropleon titan,A Noctuid Moth,"Meropleon titanÿTodd, 1958",,,G2G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Metria amella,A Noctuid Moth,"Metria amellaÿ(Guen‚e, 1852)",,,G5,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Oligia bridghami,Bridgham's brocade moth,"Oligia bridghamiÿ(Grote and Robinson, 1866)",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Oxycilla mitographa,A Noctuid Moth,"Oxycilla mitographaÿ(Grote, 1873)",,,G4,SH,,,Rare List,,,,,,,,,,,,,,
IILEY,Paectes abrostolella,A Noctuid Moth,"Paectes abrostolellaÿ(Walker, 1866)",,,G4,S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Papaipema araliae,Aralia Shoot Borer Moth,"Papaipema araliaeÿBird and Jones, 1921",,,G3G4,S2S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Papaipema astuta,Yellow Stoneroot Borer Moth,"Papaipema astutaÿBird, 1907",,,G3?,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Papaipema beeriana,Blazing Star Stem Borer,"Papaipema beerianaÿBird, 1923",,,G3?,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Papaipema duovata,Seaside Goldenrod Stem Borer,"Papaipema duovataÿ(Bird, 1902)",,,G2G3,S2S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Papaipema duplicatus,Dark Stoneroot Borer Moth,"Papaipema duplicatusÿBird, 1908",,,G1G2,S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Papaipema necopina,Sunflower borer moth,"Papaipema necopinaÿ(Grote, 1876)",,,G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Papaipema sp. 1,Flypoison borer moth,Papaipemaÿsp. 1,,,G2G3,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Papaipema sp. 3,Southeastern Cane Borer Moth,Papaipemaÿsp. 3,,,G4,S2S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Papaipema stenocelis,Chain Fern Borer Moth,"Papaipema stenocelisÿ(Dyar, 1907)",,,G3G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Pheosidea elegans,Elegant Prominent,"Pheosidea elegansÿ(Strecker, 1885)",Odontosia elegans,,G5,S1,,,Rare List,,,,,,,,,,,,,,
IILEY,Platypolia anceps,A noctuid moth,"Platypolia ancepsÿ(Stephens, 1850)",,,G5,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Polia purpurissata,Purple arches moth,"Polia purpurissataÿ(Grote, 1864)",,,G5,SH,,,Rare List,,,,,,,,,,,,,,
IILEY,Properigea costa,Barrens moth,"Properigea costaÿ(Barnes and Benjamin, 1923)",,,G4,S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Protodeltote sp. 1,A Noctuid Moth,Protodeltoteÿsp. 1,,,G1G3,S1S2,,,Rare List,,,,,,,,,,,,,,
IILEY,Psectrotarsia hebardi,Hebard's Noctuid Moth,"Psectrotarsia hebardiÿ(Skinner, 1917)",Erythroecia hebardi,,GU,SH,,,Rare List,,,,,,,,,,,,,,
IILEY,Ptichodis bistrigata,Southern Ptichodis Moth,"Ptichodis bistrigataÿHbner, 1818",,,G3,S1S3,,,Rare List,,,,,,,,,,,,,,
IILEY,Pygarctia abdominalis,Yellow-edged Pygarctia Moth,"Pygarctia abdominalisÿGrote, 1871",,,G3,S1S2,,,Rare List,,,,,,,,,,,,,,
