GRPSORT,SNAME,COMMON_NAME,Author,synname,ALTSYN,GRANK,SRANK,FEDSTAT,SPROT,TRK,,,,,,,,,,,,,,
AB,Circus hudsonius,Northern Harrier,"Circus hudsoniusÿ(Linnaeus, 1766)",,,G5,"S1S2B,S3N",,,Rare List,,,,,,,,,,,,,,
AB,Cistothorus stellaris,Sedge Wren,"Cistothorus stellarisÿ(Naumann, 1823)",,,G5,"S1B,S1S2N",,,Rare List,,,,,,,,,,,,,,
AB,Contopus cooperi,Olive-sided Flycatcher,"Contopus cooperiÿ(Nuttall, 1831)",,=ÿNuttallornis borealis,G4,SHB,,,Rare List,,,,,,,,,,,,,,
AB,Dolichonyx oryzivorus,Bobolink,"Dolichonyx oryzivorusÿ(Linnaeus, 1758)",,,G5,S1S2B,,,Rare List,,,,,,,,,,,,,,
AB,Dryobates borealis,Red-cockaded Woodpecker,"Dryobates borealisÿ(Vieillot, 1809)",Picoides borealis,,G3,S1,LT,LE,Rare List,,,,,,,,,,,,,,
AB,Egretta caerulea,Little Blue Heron,"Egretta caeruleaÿ(Linnaeus, 1758)",,,G5,"S1B,S3N",,,Rare List,,,,,,,,,,,,,,
AB,Egretta thula,Snowy Egret,"Egretta thulaÿ(Molina, 1782)",,,G5,"S2B,S3N",,,Rare List,,,,,,,,,,,,,,
AB,Egretta tricolor,Tricolored Heron,"Egretta tricolorÿ(Mller, 1776)",,,G5,"S2B,S3N",,,Rare List,,,,,,,,,,,,,,
AB,Empidonax alnorum,Alder Flycatcher,"Empidonax alnorumÿBrewster, 1895",,,G5,S1S2B,,,Rare List,,,,,,,,,,,,,,
AB,Empidonax flaviventris,Yellow-bellied Flycatcher,"Empidonax flaviventrisÿ(Baird and Baird, 1843)",,,G5,SHB,,,Rare List,,,,,,,,,,,,,,
AB,Eudocimus albus,White Ibis,"Eudocimus albusÿ(Linnaeus, 1758)",,,G5,S1B,,,Rare List,,,,,,,,,,,,,,
AB,Falco peregrinus,Peregrine Falcon,"Falco peregrinusÿTunstall, 1771",,,G4,"S1B,S2N",,LT,Rare List,,,,,,,,,,,,,,
AB,Fulica americana,American Coot,"Fulica americanaÿGmelin, 1789",,,G5,"S1B,S5N",,,Rare List,,,,,,,,,,,,,,
AB,Gallinula galeata,Common Gallinule,"Gallinula galeataÿ(Lichtenstein, 1818)",Gallinula chloropus(in part),,G5,"S1B,S1N",,,Rare List,,,,,,,,,,,,,,
AB,Gelochelidon nilotica,Gull-billed Tern,"Gelochelidon niloticaÿ(Gmelin, 1789)",Sterna nilotica,,G5,S2B,,LT,Rare List,,,,,,,,,,,,,,
AB,Geothlypis philadelphia,Mourning Warbler,"Geothlypis philadelphiaÿ(Wilson, 1810)",Oporornis philadelphia,,G5,S1B,,,Rare List,,,,,,,,,,,,,,
AB,Haemorhous purpureus,Purple Finch,"Haemorhous purpureusÿ(Gmelin, 1789)",Carpodacus purpureus,,G5,"S1B,S5N",,,Rare List,,,,,,,,,,,,,,
AB,Himantopus mexicanus,Black-necked Stilt,"Himantopus mexicanusÿ(Mller, 1776)",,,G5,S1B,,,Rare List,,,,,,,,,,,,,,
AB,Hydroprogne caspia,Caspian Tern,"Hydroprogne caspiaÿ(Pallas, 1770)",Sterna caspia,,G5,"S1B,S2N",,,Rare List,,,,,,,,,,,,,,
AB,Lanius ludovicianus,Loggerhead Shrike,"Lanius ludovicianusÿLinnaeus, 1766",,,G4,"S1B,S2N",,LT,Rare List,,,,,,,,,,,,,,
AB,Laterallus jamaicensis,Black Rail,"Laterallus jamaicensisÿ(Gmelin, 1789)",,,G3,"S1B,S1N",LT,LE,Rare List,,,,,,,,,,,,,,
AB,Limnothlypis swainsonii,Swainson's Warbler,"Limnothlypis swainsoniiÿ(Audubon, 1834)",,,G4,S2B,,,Rare List,,,,,,,,,,,,,,
AB,Loxia curvirostra,Red Crossbill,"Loxia curvirostraÿLinnaeus, 1758",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
AB,Mareca strepera,Gadwall,"Mareca streperaÿ(Linnaeus, 1758)",Anas strepera,,G5,"S2B,S4N",,,Rare List,,,,,,,,,,,,,,
